,class,largest spot,spot distribution,activity,evolution,24 hour flare activity,historically complex,complexity on this sun disk pass,area,area of largest spot,total flares
320,2,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
321,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
322,4,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0
323,3,2.0,3.0,2.0,3.0,2.0,,2.0,1.0,1.0,6.0
324,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
325,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
326,2,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
327,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
328,2,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
329,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
330,3,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,12.0
331,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
332,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
333,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
334,2,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
335,3,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
336,2,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0
337,1,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0
338,3,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,18.0
339,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
340,1,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0
341,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0
342,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
343,1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
344,2,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
345,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
346,2,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0
347,2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
348,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
349,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
350,3,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,7.0
351,1,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
352,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
353,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
354,1,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0
355,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
356,3,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,4.0
357,6,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,12.0
358,3,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
359,6,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,12.0
360,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
361,6,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,14.0
362,3,6.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,18.0
363,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
364,1,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
365,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
366,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
367,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
368,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
369,3,6.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
370,1,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,0.0
371,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
372,6,3.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,36.0
373,2,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,27.0
374,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
375,3,2.0,2.0,1.0,,1.0,1.0,2.0,,1.0,3.0
376,3,6.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,,9.0
377,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
378,6,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,36.0
379,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
380,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0
381,3,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,4.0
382,2,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0
383,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0
384,3,6.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0
385,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
386,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
387,2,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,12.0
388,3,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
389,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
390,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
391,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
392,1,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0
393,3,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
394,3,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,12.0
395,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
396,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
397,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
398,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
399,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
400,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
401,1,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0
402,3,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
403,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
404,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
405,6,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0
406,6,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0
407,3,4.0,3.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0
408,6,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0
409,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
410,3,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
411,3,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
412,3,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
413,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
414,3,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
415,2,4.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,6.0
416,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
417,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
418,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
419,1,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,0.0
420,4,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
421,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
422,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
423,6,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
424,3,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
425,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
426,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
427,2,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
428,2,2.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,3.0
429,3,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
430,6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0
431,6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
432,4,4.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
433,3,4.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,9.0
434,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0
435,6,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,36.0
436,3,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
437,2,3.0,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0
438,6,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,60.0
439,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
440,3,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
441,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
442,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
443,6,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,18.0
444,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
445,3,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
446,3,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
447,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
448,2,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,,1.0
449,3,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
450,6,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,48.0
451,1,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,0.0
452,4,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,8.0
453,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
454,6,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,45.0
455,3,4.0,3.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0
456,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
457,1,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0
458,3,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0
459,6,3.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,18.0
460,3,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
461,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
462,3,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
463,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
464,3,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,4.0
465,4,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0
466,3,4.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,36.0
467,1,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.0
468,6,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,36.0
469,3,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
470,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
471,3,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
472,6,3.0,1.0,1.0,,1.0,,2.0,1.0,1.0,18.0
473,3,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
474,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
475,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
476,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
477,2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
478,4,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0
479,4,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
480,6,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,36.0
481,3,4.0,3.0,2.0,3.0,,2.0,2.0,1.0,1.0,6.0
482,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
483,3,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
484,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
485,3,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
486,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
487,2,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
488,4,4.0,3.0,1.0,2.0,,2.0,2.0,1.0,1.0,3.0
489,4,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
490,6,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,24.0
491,3,4.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,9.0
492,4,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
493,6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0
494,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
495,3,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
496,6,3.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,54.0
497,4,4.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,12.0
498,4,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
499,2,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
500,3,4.0,4.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0
501,4,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
502,6,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,36.0
503,3,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
504,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
505,6,3.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,27.0
506,3,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
507,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
508,6,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0
509,5,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
510,2,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
511,2,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
512,4,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
513,6,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,36.0
514,3,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
515,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
516,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
517,3,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0
518,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,36.0
519,5,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
520,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
521,4,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,24.0
522,6,3.0,,1.0,3.0,,1.0,1.0,1.0,1.0,54.0
523,2,4.0,3.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0
524,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
525,3,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,
526,2,,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
527,6,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,36.0
528,5,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
529,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0
530,6,3.0,1.0,1.0,3.0,,2.0,2.0,1.0,1.0,14.0
531,4,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
532,6,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,72.0
533,2,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
534,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
535,3,2.0,3.0,1.0,3.0,,2.0,2.0,1.0,1.0,2.0
536,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
537,6,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,36.0
538,5,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
539,6,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
540,6,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,27.0
541,4,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
542,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
543,3,2.0,3.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0
544,6,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0
545,3,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
546,6,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
547,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
548,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
549,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
550,4,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
551,2,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
552,2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
553,6,3.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,18.0
554,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
555,6,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,54.0
556,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
557,3,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
558,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
559,1,,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,0.0
560,6,3.0,,1.0,2.0,,2.0,1.0,1.0,1.0,18.0
561,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
562,3,3.0,,2.0,3.0,,2.0,2.0,1.0,1.0,7.0
563,3,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,11.0
564,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
565,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
566,6,3.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,9.0
567,3,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
568,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
569,6,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0
570,2,3.0,,1.0,3.0,,2.0,2.0,1.0,1.0,2.0
571,2,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
572,6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
573,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
574,6,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0
575,3,4.0,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,4.0
576,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
577,6,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,18.0
578,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
579,2,3.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
580,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
581,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
582,2,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0
583,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
584,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
585,3,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
586,6,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,18.0
587,6,3.0,1.0,,3.0,1.0,2.0,1.0,1.0,1.0,27.0
588,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,4.0
589,2,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
590,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
591,2,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0
592,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
593,6,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,54.0
594,6,3.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,27.0
595,3,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
596,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
597,6,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,18.0
598,3,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
599,3,4.0,3.0,2.0,2.0,1.0,2.0,,,1.0,4.0
600,5,3.0,2.0,2.0,2.0,1.0,1.0,,,1.0,15.0
601,6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
602,2,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
603,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
604,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
605,3,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0
606,3,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
607,3,3.0,2.0,2.0,2.0,,2.0,2.0,,1.0,14.0
608,5,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
609,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
610,3,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
611,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
612,6,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,12.0
613,6,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,36.0
614,3,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
615,3,3.0,3.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0
616,2,2.0,3.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0
617,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
618,1,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
619,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,27.0
620,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
621,2,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
622,6,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0
623,2,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,2.0
624,6,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,18.0
625,1,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
626,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
627,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
628,3,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0
629,2,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
630,1,1.0,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0
631,2,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0
632,2,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
633,2,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
634,2,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
635,3,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
636,4,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0
637,6,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,18.0
638,2,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,3.0
639,6,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0
640,3,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
641,2,3.0,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,4.0
